employee_id,employer_id,employer_name,industry,employer_quality,age,education,education_issue,financial_literacy,employer_match_eligible,retirement_contribution_rate,annual_earnings,net_worth,household_debt,complete_iv_case
1,33,Employer 33,retail,1.764,46,graduate,,0.349,1,0.0681,82713.83,236223.59,24257.7,1
2,55,Employer 55,education,-0.67,50,some_college,,-0.885,0,0.0294,43810.74,43591.12,49958.28,1
3,6,employer 6,tech,-0.405,27,college,,-0.028,0,0.0716,40566.0,154785.5,15541.28,1
4,11,EMPLOYER 11,education,-0.76,40,high_school,,-0.906,1,0.084,47354.88,142889.49,12306.52,1
5,45,EMPLOYER 45,healthcare,-0.048,28,college,,1.678,0,0.0273,59166.27,203520.59,20309.94,1
6,65,Employer 65,healthcare,1.04,49,high_school,,-0.813,1,0.0432,54951.48,66372.87,32510.43,1
7,16,Employer 16,,-0.05,47,graduate,,1.627,0,0.0914,75197.71,336901.82,51309.27,1
8,59,Employer 59,manufacturing,-0.63,29,college,,0.005,0,0.0369,42238.33,187347.91,42670.51,1
9,41,Employer 41,retail,1.797,60,college,,-0.123,1,0.0775,101912.12,303717.95,38154.19,1
10,55,Employer 55,education,-0.67,30,high_school,,0.532,0,0.0814,29088.94,69504.63,62013.3,1
11,15,Employer 15,manufacturing,-0.5,27,some_college,,1.135,0,0.0386,49182.84,140832.06,31111.12,1
12,73,Employer 73,tech,1.456,59,college,,2.103,1,0.1036,94902.72,412723.4,-1449.42,1
13,66,Employer 66,,-0.111,37,high_school,,-1.517,1,0.0834,50175.19,146599.56,49492.6,1
15,19,Employer 19,manufacturing,-1.545,25,graduate,,1.001,0,0.1114,44040.79,204206.05,39263.32,1
16,55,Employer 55,education,-0.67,34,some_college,,0.504,0,0.1046,23344.64,135628.39,30721.66,1
17,66,Employer 66,,-0.111,45,high_school,,2.444,1,0.106,42503.01,171253.83,31481.4,1
18,75,Employer 75,tech,-0.726,48,,blank,-0.876,0,0.0521,49947.32,66942.16,7045.08,1
19,46,Employer 46,healthcare,-0.824,37,some_college,,1.431,0,0.0456,18000.0,38217.01,67340.49,1
20,74,EMPLOYER 74,tech,-0.833,60,graduate,,0.115,0,0.11560000000000001,98888.3,361530.69,54189.29,1
21,48,Employer 48,healthcare,-0.549,40,college,,1.276,0,0.0618,78941.75,275972.2,40192.26,1
22,17,Employer 17,healthcare,0.01,52,college,,0.183,0,0.0345,85598.17,363593.24,16222.09,1
23,68,Employer 68,healthcare,-0.625,53,graduate,,-1.565,0,0.0,91969.99,265606.58,23477.01,1
24,20,Employer 20,retail,2.829,38,some_college,,0.634,1,0.0978,73491.76,298019.26,42918.13,1
25,28,Employer 28,tech,0.76,33,high_school,,0.247,1,0.0855,34365.92,158150.04,,1
26,55,Employer 55,education,-0.67,36,high_school,,-0.566,0,0.0171,47560.34,-21347.0,56347.57,1
27,15,Employer 15,manufacturing,-0.5,38,college,,-1.042,0,0.032,63607.68,164610.9,-3639.1,1
28,39,employer 39,tech,0.394,57,high_school,,-1.218,0,0.0849,66639.99,167436.99,28555.78,1
29,32,Employer 32,healthcare,-0.072,32,high_school,,-0.791,0,0.0667,42626.41,176718.95,-6418.52,1
30,23,Employer 23,healthcare,0.843,47,graduate,,-0.117,0,0.0418,83812.34,346967.62,34661.4,1
31,67,employer 67,retail,0.414,40,college,,0.92,1,0.1175,96866.77,280898.56,12736.24,1
32,56,employer 56,retail,1.215,39,college,,1.045,1,0.1604,88620.57,429377.26,67328.88,1
33,58,Employer 58,education,0.302,37,high_school,,-1.406,1,0.0675,54056.67,171081.29,47543.28,1
34,77,Employer 77,education,2.506,49,some_college,,0.275,1,0.1448,96645.51,373120.91,37524.26,1
35,53,Employer 53,education,-1.301,46,some_college,,-1.028,0,0.0,48631.12,252525.69,39526.35,1
36,17,Employer 17,healthcare,0.01,46,high_school,,1.558,0,0.0614,71179.61,241121.85,19036.24,1
37,69,Employer 69,manufacturing,-0.094,38,some_college,,-0.837,0,0.0223,57756.45,214916.44,68757.68,1
38,28,Employer 28,tech,0.76,46,high_school,,-0.492,0,0.0221,70698.04,149722.83,38411.91,1
39,63,Employer 63,healthcare,1.055,52,some_college,,-1.386,1,0.1205,89190.29,304280.9,3248.53,1
40,30,Employer 30,manufacturing,-0.274,60,college,,-0.983,0,0.0325,84398.96,184630.3,,1
41,33,Employer 33,retail,1.764,47,some_college,,0.062,1,0.0703,88453.59,150461.59,51999.0,1
42,55,Employer 55,education,-0.67,49,some_college,,2.228,0,0.0924,56436.76,91705.93,19804.89,1
43,55,Employer 55,education,-0.67,40,high_school,,-1.438,0,0.0,56070.97,33786.71,18241.28,1
44,40,employer 40,healthcare,-0.709,53,graduate,,0.82,0,0.0805,106656.22,391005.07,14824.52,1
45,66,Employer 66,,-0.111,37,college,,2.176,0,0.0812,69791.18,168843.32,58104.25,1
46,46,Employer 46,healthcare,-0.824,56,college,,-1.374,1,0.021,81764.7,290910.63,57038.75,1
47,68,Employer 68,healthcare,-0.625,25,high_school,,0.208,1,0.0497,41860.69,121517.95,46424.32,1
48,44,Employer 44,healthcare,0.546,35,some_college,,-0.979,1,0.0519,54273.5,54661.46,400.2,1
49,30,Employer 30,manufacturing,-0.274,46,high_school,,0.063,0,0.0358,50849.87,165746.79,43085.24,1
50,35,Employer 35,education,1.147,55,college,,0.613,1,0.1114,97101.39,333699.97,34913.2,1
51,57,employer 57,manufacturing,-1.965,54,some_college,,-0.111,0,0.0113,43082.22,157779.85,40887.92,1
52,47,Employer 47,education,-1.546,53,some_college,,-1.316,0,0.078,67557.32,187770.64,27151.55,1
53,2,Employer 2,tech,0.564,30,some_college,,1.314,1,0.1127,46956.05,218292.62,28982.24,1
54,1,Employer 1,healthcare,0.435,27,some_college,,-0.505,0,0.0466,56471.18,140526.81,27837.58,1
55,58,Employer 58,education,0.302,33,high_school,,-0.467,0,0.1049,64416.78,81550.49,45451.0,1
56,42,Employer 42,healthcare,0.503,41,high_school,,-0.316,1,0.0973,57976.88,24360.72,29151.34,1
57,62,Employer 62,education,-0.064,50,some_college,,-0.065,1,0.102,56224.15,254412.5,59730.1,1
58,69,Employer 69,manufacturing,-0.094,31,college,,-1.245,1,0.0782,65845.34,263150.63,17088.22,1
59,24,Employer 24,education,0.556,57,high_school,,-0.64,1,0.09210000000000002,67174.5,286028.61,39480.95,1
60,41,Employer 41,retail,1.797,45,graduate,,-0.109,1,0.1142,96648.15,372672.87,29346.66,1
61,71,employer 71,healthcare,-0.829,49,some_college,,0.532,0,0.1015,46640.65,247495.87,29622.35,1
62,32,Employer 32,healthcare,-0.072,32,graduate,,-0.731,0,0.0336,65336.27,238634.11,11807.03,1
63,20,Employer 20,retail,2.829,58,high_school,,-0.78,1,0.0864,90061.38,246454.32,,1
64,53,Employer 53,education,-1.301,53,high_school,,0.53,0,0.1003,59376.98,254036.82,21786.99,1
65,68,Employer 68,healthcare,-0.625,58,some_college,,-0.253,1,0.09269999999999999,53626.88,122794.33,40736.1,1
66,60,Employer 60,healthcare,0.951,41,high_school,,1.51,1,0.1362,54515.32,182537.36,36232.01,1
67,30,Employer 30,manufacturing,-0.274,47,some_college,,-0.192,1,0.0748,50598.96,153949.37,37050.77,1
68,17,Employer 17,healthcare,0.01,58,some_college,,-0.87,1,0.0837,73686.3,285522.24,,1
70,21,Employer 21,tech,-0.699,54,college,,-0.925,0,0.0517,63725.3,234276.93,11190.52,1
71,40,employer 40,healthcare,-0.709,41,some_college,,0.945,0,0.0513,64931.85,239146.15,48496.06,1
72,36,employer 36,education,0.429,53,college,,0.113,1,0.1143,81857.91,285027.86,18924.19,1
73,61,Employer 61,education,0.898,48,college,,0.956,1,0.0791,81991.43,321185.19,,1
74,1,Employer 1,healthcare,0.435,32,graduate,,0.307,1,0.0612,76017.64,262997.43,31889.9,1
75,1,Employer 1,healthcare,0.435,51,high_school,,0.82,0,0.0285,70722.4,174284.16,11473.27,1
76,43,employer 43,healthcare,-0.302,59,college,,0.181,1,0.0812,91383.64,337226.49,4147.04,1
77,35,Employer 35,education,1.147,49,high_school,,-0.372,1,0.1253,60340.96,222849.88,56767.18,1
78,64,Employer 64,education,0.008,28,college,,0.19,0,0.0,64897.09,129918.43,37328.32,1
79,10,Employer 10,education,-0.152,32,some_college,,-0.567,1,0.1012,34596.19,24201.76,-8655.83,1
80,58,Employer 58,education,0.302,54,high_school,,-0.132,1,0.0995,48175.4,81549.18,20319.04,1
82,73,Employer 73,tech,1.456,36,graduate,,-1.202,1,0.0321,84939.58,318036.06,43680.76,1
83,65,Employer 65,healthcare,1.04,38,high_school,,0.912,1,0.1184,27419.33,85763.47,45199.64,1
84,45,EMPLOYER 45,healthcare,-0.048,51,high_school,,-0.096,0,0.0,50985.67,109293.13,26939.13,1
